Filename,Z3,Eldarica,CVC4Ind,CVC4Finite,VeriMAP-iddt
sizerightdrop.0.smt2,600000,300000,300000,6974,300000
goal87.0.smt2,300000,300000,300000,1066,300000
goal85.0.smt2,300000,300000,300000,300000,300000
goal76.0.smt2,600000,300000,300000,300000,300000
list_rev_append.0.smt2,300000,300000,300000,37,300000
goal74.0.smt2,600000,300000,300000,300000,300000
sumlistappend2.0.smt2,300000,300000,300000,53,300000
list_append_nil.0.smt2,600000,3545,300000,43,300000
sumlistappend1.0.smt2,300000,300000,300000,50,300000
list_rev2_len.0.smt2,600000,12965,300000,44,300000
lenmergeoddeven.0.smt2,600000,300000,300000,58,300000
goal20.0.smt2,300000,300000,300000,51,300000
list_rev2_append.0.smt2,300000,3330,300000,43,300000
tree_insert_size.0.smt2,300000,300000,300000,57,300000
queue_popback.0.smt2,300000,300000,300000,86,300000
queue_len.0.smt2,300000,300000,300000,108,300000
list_append_len.0.smt2,300000,300000,300000,45,300000
mld-leftdrop.0.smt2,300000,300000,300000,300000,300000
queue_push_to_list.0.smt2,300000,300000,300000,103,300000
list_append_ass.0.smt2,300000,300000,300000,41,300000
goal56.0.smt2,300000,300000,300000,300000,300000
list_rev.0.smt2,300000,300000,300000,41,300000
goal86.0.smt2,300000,300000,300000,300000,300000
sizeleftdrop.0.smt2,600000,300000,300000,18048,300000
sumlistappend0.0.smt2,300000,300000,300000,52,300000
queue_push.0.smt2,300000,300000,300000,121,300000
filtergtzapp.0.smt2,300000,300000,300000,151,300000
queue_amort.0.smt2,300000,300000,300000,300000,300000
goal75-gt0.0.smt2,300000,300000,300000,137,300000
heightleftdrop.0.smt2,600000,300000,300000,1308,300000
heightrightdrop.0.smt2,600000,166371,300000,300000,300000
heap_insert_multi.0.smt2,300000,300000,300000,684,300000
list_rev2.0.smt2,300000,300000,300000,46,300000
treesizeheight.0.smt2,300000,300000,300000,300000,300000
list_len_butlast.0.smt2,300000,3100,300000,42,300000
sizerightdrop.0.smt2,300000,300000,300000,24001,67773
sumlistappend3.0.smt2,300000,300000,300000,300000,300000
goal87.0.smt2,300000,300000,300000,300000,300000
goal52_2.0.smt2,300000,300000,300000,300000,300000
goal85.0.smt2,300000,300000,300000,300000,300000
goal76.0.smt2,300000,300000,300000,300000,300000
goal52.0.smt2,300000,300000,300000,300000,300000
goal74.0.smt2,300000,600000,300000,300000,300000
sumlistappend2.0.smt2,300000,300000,300000,300000,300000
sumlistappend1.0.smt2,300000,300000,300000,300000,300000
lenmergeoddeven.0.smt2,300000,300000,300000,300000,300000
goal20.0.smt2,300000,300000,300000,300000,300000
goal56.0.smt2,300000,300000,300000,300000,300000
countappend_2.0.smt2,300000,300000,300000,300000,300000
goal35.0.smt2,34,2223,29,34,117
goal86.0.smt2,300000,300000,300000,300000,300000
sizeleftdrop.0.smt2,600000,600000,300000,10745,85658
sumlistappend0.0.smt2,300000,300000,300000,300000,300000
goal53.0.smt2,300000,300000,300000,300000,300000
filtergtzapp.0.smt2,300000,300000,300000,300000,300000
goal75-gt0.0.smt2,300000,300000,300000,300000,300000
heightleftdrop.0.smt2,600000,300000,300000,21712,300000
countappend.0.smt2,300000,300000,300000,300000,300000
goal53_2.0.smt2,300000,300000,300000,300000,300000
heightrightdrop.0.smt2,600000,300000,300000,5309,300000
tip2015/sort_nat_NMSortTDSorts.0.smt2,300000,300000,300000,300000,300000
tip2015/weird_nat_add3acc_assoc1.0.smt2,300000,300000,300000,300000,300000
tip2015/sort_StoogeSortSorts.0.smt2,300000,300000,300000,300000,300000
tip2015/sort_BubSortCount.0.smt2,300000,300000,300000,300000,300000
tip2015/weird_nat_op_spec.0.smt2,300000,300000,300000,300000,300000
tip2015/bin_nat_plus.0.smt2,300000,300000,300000,300000,300000
tip2015/sort_HSortIsSort.0.smt2,300000,300000,300000,300000,300000
tip2015/int_mul_ident_left.0.smt2,300000,300000,300000,300000,300000
tip2015/regexp_SeqDistrPlus.0.smt2,300000,300000,300000,300000,300000
tip2015/bin_plus_assoc.0.smt2,300000,300000,300000,300000,300000
tip2015/weird_nat_mul3acc_comm13.0.smt2,300000,300000,300000,300000,300000
tip2015/sort_nat_HSort2Sorts.0.smt2,300000,300000,300000,300000,300000
tip2015/tree_Flatten2.0.smt2,300000,300000,300000,300000,300000
tip2015/bin_nat_plus_comm.0.smt2,300000,300000,300000,300000,300000
tip2015/list_weird_is_normal.0.smt2,300000,400000,300000,300000,300000
tip2015/nat_max_idem.0.smt2,19,1839,300000,300000,300000
tip2015/sort_HSortSorts.0.smt2,300000,300000,300000,300000,300000
tip2015/list_nat_append_inj_1.0.smt2,300000,300000,300000,300000,300000
tip2015/list_PairUnpair.0.smt2,66,10013,300000,63,164
tip2015/nat_boring_ge_trans.0.smt2,300000,5030,300000,300000,300000
tip2015/nicomachus_theorem.0.smt2,44,19500,300000,31,135
tip2015/int_add_ident_right.0.smt2,378,300000,36,55,2382
tip2015/list_nat_append_inj_2.0.smt2,300000,300000,300000,300000,300000
tip2015/sort_MSortTDSorts.0.smt2,303,300000,300000,180,300000
tip2015/int_right_distrib.0.smt2,258953,300000,55655,300000,300000
tip2015/sort_HSortCount.0.smt2,300000,300000,300000,300000,300000
tip2015/nat_boring_ge_antisym.0.smt2,300000,300000,300000,300000,300000
tip2015/sort_nat_NStoogeSort2IsSort.0.smt2,300000,300000,300000,300000,300000
tip2015/sort_StoogeSortIsSort.0.smt2,300000,300000,300000,300000,300000
tip2015/bin_distrib.0.smt2,300000,300000,300000,300000,300000
tip2015/sort_nat_MSortBU2Count.0.smt2,300000,300000,300000,300000,300000
tip2015/relaxedprefix_is_prefix_2.0.smt2,300000,300000,300000,300000,300000
tip2015/list_Interleave.0.smt2,300000,300000,300000,300000,300000
